PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1993-ALE-000094	M	Chainpur	WU 3f	26.6		53.8	78.7
SiC-1993-ALE-000095	M	Chainpur	WU 3f	70.1		-7.4	13.4
SiC-1993-ALE-000096	AB	Chainpur	WU 3f	3.5		104.5	90.4
SiC-1993-ALE-000097	Y	Chainpur	WU 3f	106.4		8.5	32.2
SiC-1993-ALE-000098	M	Chainpur	WU 3f	43.5		104.2	71.4
SiC-1993-ALE-000099	M	Chainpur	WU 3f	35.4		107.2	90.1
SiC-1993-ALE-000100	M	Chainpur	WU 3f	59.4		64.5	48.7
SiC-1993-ALE-000101	M	Chainpur	WU 3f	43.5		104.2	71.4
SiC-1993-ALE-000102	M	Chainpur	WU 3f	73.9		19.8	48.6
SiC-1993-ALE-000103	M	Tieschitz	WU 3f	71.4		15.7	24.0
SiC-1993-ALE-000104	M	Tieschitz	WU 3f	50.0		10.5	-3.0
SiC-1993-ALE-000105	M	Tieschitz	WU 3f	34.6		-3.1	-14.2
SiC-1993-ALE-000106	M	Tieschitz	WU 3f	19.1		5.4	16.4
SiC-1993-ALE-000107	M	Tieschitz	WU 3f	65.2		14.3	27.2
SiC-1993-ALE-000108	M	Tieschitz	WU 3f	62.0		41.3	29.3
SiC-1993-ALE-000109	M	Tieschitz	WU 3f	64.9		66.1	68.8
SiC-1993-ALE-000110	M	Tieschitz	WU 3f	44.4		110.6	84.3
SiC-1993-ALE-000111	M	Tieschitz	WU 3f	92.4		-8.2	-18.5
SiC-1993-ALE-000112	M	Tieschitz	WU 3f	49.6		81.9	73.2
SiC-1993-ALE-000113	M	Tieschitz	WU 3f	52.9		88.1	73.2
SiC-1993-ALE-000114	M	Tieschitz	WU 3f	55.4		66.5	76.0
SiC-1993-ALE-000115	M	Tieschitz	WU 3f	34.7		128.5	109.5
SiC-1993-ALE-000116	M	Tieschitz	WU 3f	63.7		71.1	57.0
SiC-1993-ALE-000117	M	Tieschitz	WU 3f	63.5		43.8	70.1
SiC-1993-ALE-000118	M	Tieschitz	WU 3f	53.1		127.2	127.4
